Name,URL,LoadProxy,ReverseProxy,Proxy Comments,Contains Dropdown KRF,KRFs,SALAD,Redecheck,Redecheck Runtime,Wave Runtime,Qualweb Runtime
4shared,https://web.archive.org/web/20200609163523/https://www.4shared.com/web/helpCenter#par_three/,,x,no css,,No RWD,,,67,2,2
aboutads,https://youradchoices.com/,,x,no css,,0,,,69,2,4
aboutme,https://about.me/,,,,,0,,,99,1,2
accountkiller,https://web.archive.org/web/20170105205605/http://www.accountkiller.com:80/en/,,x,no css,,0,,,99,1,2
adobe,https://helpx.adobe.com/support.html/,,x,broken reverse,,4,,,1905,2,7
adorama,https://www.adorama.com/MyAccount/Login,,x,no css,,0,,,7,1,2
airbnb,https://web.archive.org/web/20170113034951/https://www.airbnb.com/,,x,no css,,17,,,120,2,2
alexa,https://www.alexa.com/login,,,,,No RWD,,,73,2,2
ancestry,https://www.ancestry.com/,,x,no css,,0,,,275,1,3
apache,https://apache.org/,,,,x,29,,,159,2,4
archive,https://archive.org/create/,,,,,,,,39,2,1
arxiv,https://arxiv.org/,,x,no css,,2,,,55,1,2
ask,https://www.ask.com/about,,x,no css,,6,,,85,1,2
battlenet,https://web.archive.org/web/20161204023929/https://us.battle.net/forums/en/bnet/topic/12673549676/,,x,no css,,0,,,133,1,2
bbc,https://account.bbc.com/signin?,,x,broken reverse,,0,,,24,2,2
booking,https://www.booking.com/flights/,,x,no css,,1,,,199,1,2
boostmobile,https://myaccount.boostmobile.com/sign-in.html,,,,,2,,,31,2,2
bowiestate,https://www.bowiestategrad.org/apply/index.cfm?isndsl,,,,,1,,,256,2,3
bugmenot,https://web.archive.org/web/20170107125104/http://bugmenot.com/,,x,no css,,0,,,34,1,1
canon,https://www.usa.canon.com/contact-us,,x,no css,,33,,,329,2,3
capitalone,https://verified.capitalone.com/auth/signin,,x,no css,,0,,,21,1,3
carlsjr,https://www.carlsjr.com/email-signup,,,,,0,,,102,1,3
cdc,https://www.cdc.gov/,,,,,37,,,374,1,2
citiprogram,https://www.citiprogram.org/index.cfm?pageID=14,,,,,0,,,11,1,2
cloudconvert,https://web.archive.org/web/20161215165010/https://cloudconvert.com/,,x,no css,,1,,,109,1,3
cloudflare,https://dash.cloudflare.com/login,,,,,1,,,20,2,2
cnn,https://www.cnn.com/search/,,x,no css,,80,,,121,1,6
coinbase,https://www.coinbase.com/signup,,,,,2,,,31,1,2
consumerreports,http://www.consumerreports.org/,,x,broken reverse,,106,,,1464,2,4
coronavirus,https://www.coronavirus.gov/,,,,,0,,,11,1,2
costco,https://web.archive.org/web/20200607000514/https://customerservice.costco.com/,,x,no css,,10,,,73,1,2
coveredcalender,https://web.archive.org/web/20161202021003/https://www.coveredcalendar.com/,,x,no css,,0,,,66,1,2
cpanel,https://cpanel.net/,,,,,0,,,178,2,2
craigslist,https://losangeles.craigslist.org/,,,,,No RWD,,,117,2,3
daysold,https://web.archive.org/web/20161202093500/http://www.daysold.com:80/,,x,no css,,0,,,28,1,2
dell,https://web.archive.org/web/20200331034820/https://www.dell.com/support/Assets-Online/us/en/19/registration#/identifyservicetag/,,x,no css,,0,,,205,1,2
dictation,https://web.archive.org/web/20170107130840/https://dictation.io/,,x,no css,,5,,,38,2,2
discordapp,https://discordapp.com/,,,,,4,,doesnt work,,1,2
disqus,https://disqus.com/,,x,blank reverse,,0,,,200,1,2
dmv_ca,https://www.dmv.ca.gov/wasapp/foa/officeVisit.do,,,,,0,,,38,1,2
dmv_fl,https://www.flhsmv.gov/,,x,broken reverse,x,78,,,121,1,2
dmv_wc,https://web.archive.org/web/20200518184917/https://trust.dot.state.wi.us/QFlowX/Default.aspx,,x,no css,,No RWD,,,34,1,3
doi,https://www.doi.org/,,x,no css,,0,,doesnt work (stuck),,2,3
dpreview,https://www.dpreview.com/about,,x,no css,,No RWD,,,61,2,2
dropbox,https://help.dropbox.com/,,x,no css,,0,,,191,1,3
duolingo,https://www.duolingo.com/,,x,blank reverse,,40,,doesnt work (browser not supported),,1,2
ebay,https://signup.ebay.com/pa/crte,,,,,0,,error,,2,2
ed,https://www.ed.gov/,,x,no css,,0,,,181,1,3
enablejavascript,https://enable-javascript.com/,,,,,0,,doesnt work (crash),,1,2
fandango,https://www.fandango.com/account/signin,,x,no css,,0,,,35,2,3
flickr,https://identity.flickr.com/sign-up,,,,,0,,,14,1,1
foursquare,https://foursquare.com/,,x,no css,,0,,,79,1,2
gizmodo,https://gizmodo.com/about,,,,,24,,,68,1,2
godaddy,https://web.archive.org/web/20200610194659/https://sso.godaddy.com/,,x,no css,,0,,,14,1,2
gofundme,https://www.gofundme.com/,,x,no css,,5,,,285,2,2
gravatar,https://en.gravatar.com/,,x,no css,,0,,,46,1,2
groupon,https://www.groupon.com/login,,x,no css,,No RWD,,,15,1,2
honey,https://web.archive.org/web/20161012142147/http://www.joinhoney.com/install,,x,no css,,4,x,doesnt work (takes you to 404 site not hosted),,1,2
hotelwifitest,https://web.archive.org/web/20170108050535/https://www.hotelwifitest.com/,,x,no css,,0,,,51,1,2
